Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Latvia,LVA,1881750,0.0012594558958978208,1.47,74.58048780487805,16.4,2.8,-8048.0
"Macao SAR, China",MAC,704149,0.012919179248757072,1.109,85.37699999999998,4.256,,5000.0
St. Martin (French part),MAF,32077,0.0089962568022397,2.385,80.54999999999998,5.101,,0.0
Morocco,MAR,37840044,0.010200045272072966,2.299,74.973,5.766,14.8,-39998.0
Monaco,MCO,36297,-0.004716334421015156,,,,2.3,200.0
Moldova,MDA,2486891,-0.0204825408228938,1.8,68.621,16.609,12.2,168831.0
Madagascar,MDG,30325732,0.02411268729665572,3.791,65.23,6.799,45.1,-1500.0
Maldives,MDV,521021,-0.005280772527764154,1.678,80.839,2.777,4.8,-8331.5
Middle East & North Africa,MEA,500787313,0.015220264519057114,2.595251293740364,73.21126324947248,5.406297790050533,16.2,313424.5
Mexico,MEX,128455567,0.007462048776853303,1.803,74.83199999999998,6.705,11.0,-50819.0
Marshall Islands,MHL,41996,0.010272077750246522,2.672,65.146,7.918999999999999,24.0,0.0
Middle income,MIC,5870152963,0.007989449490350298,2.157889856331775,71.2879043700612,8.003646990212095,26.78495923515665,-5304670.5
North Macedonia,MKD,1811980,-0.010772435841442274,1.6,74.42487804878051,12.3,4.1,-1000.0
Mali,MLI,23293698,0.03098701888455979,5.867,59.417,8.951,60.1,-39998.0
Malta,MLT,553214,0.041612613511625485,1.15,82.7,8.0,4.9,850.0
Myanmar,MMR,54577997,0.007358732132892286,2.127,67.256,8.749,32.5,-34998.0
Middle East & North Africa (excluding high income),MNA,430857111,0.015386031885526784,2.6374364944637025,72.29705086452137,5.798493068647699,17.592795393841325,261578.5
Montenegro,MNE,616177,-0.0016785129282759217,1.8,76.18780487804878,11.5,2.3,-480.0
Mongolia,MNG,3447157,0.014357194016183072,2.774,72.667,5.479,11.5,-850.0
Northern Mariana Islands,MNP,49796,0.004944400718451592,,,,,-50.0
Mozambique,MOZ,33897354,0.02814223732357868,4.561,59.625,8.611,48.7,-5000.0
Mauritania,MRT,4862989,0.02678341999675271,4.342,64.691,7.203,31.4,3000.0
Mauritius,MUS,1261041,-0.0011738400013306949,1.32,73.51463414634145,10.2,13.4,0.0
Malawi,MWI,20931751,0.025798864090178064,3.849,62.898,6.934,30.1,-6000.0
Malaysia,MYS,34308525,0.010911119943499692,1.787,76.26,5.443,6.7,48997.0
North America,NAC,375076145,0.007526935894878406,1.6303485069078858,77.83875369590439,9.674363033919889,5.3,1248286.0
Namibia,NAM,2604172,0.014475974401366276,3.248,58.059,11.457,28.6,-3988.5
New Caledonia,NCL,267940,-0.004735991679512663,2.02,80.98207317073171,7.1,,500.0
Niger,NER,27202843,0.03796042708676062,6.749,62.08,7.833999999999999,60.3,1000.0
Nigeria,NGA,223804632,0.02408433609309357,5.143,53.633,12.431,68.5,-59996.0
Nicaragua,NIC,7046310,0.01409218132770862,2.284,74.61499999999998,4.655,13.1,-8000.0
Netherlands,NLD,17879488,0.010084525254022704,1.487,81.71463414634145,9.6,3.4,29998.0
Norway,NOR,5519594,0.011446865722567924,1.41,82.56097560975611,8.4,1.8,27998.0
Nepal,NPL,30896590,0.01142512762058412,2.008,70.484,6.651,23.0,-62012.0
Nauru,NRU,12780,0.008841174613198666,3.463,64.014,6.582,22.3,-140.0
New Zealand,NZL,5223100,0.020694911279605988,1.66,82.76097560975612,7.53,3.9,12999.0
OECD members,OED,1385005653,0.005473683466826529,1.5584028554718867,79.63079874536173,9.546816669044354,5.520248894187121,3291868.0
Oman,OMN,4644384,0.014877964677999511,2.567,73.935,3.279,9.0,0.0
Other small states,OSS,14240737,0.01031718841575202,2.081000745762137,72.87026255598097,7.910930790114416,23.977383049695497,-16823.5
Pakistan,PAK,240485658,0.019763802512052345,3.41,66.431,7.021,51.0,-165988.0
Panama,PAN,4468087,0.013497767195385537,2.297,76.82599999999998,5.904,11.4,7614.5
Peru,PER,34352719,0.008902633418060633,2.164,73.385,7.505,11.7,-61047.0
Philippines,PHL,117337368,0.015389185277627336,2.725,72.187,5.568,21.8,-69996.0
Palau,PLW,18058,0.00016615895873717257,,,11.4,22.1,-20.0
Papua New Guinea,PNG,10329931,0.018467813885151285,3.165,65.958,6.459,33.4,-800.0
Poland,POL,36685849,-0.0036907535272157066,1.261,77.3048780487805,12.2,3.8,1227956.0
Pre-demographic dividend,PRE,1065710613,0.0266837438012022,4.76677039093908,60.50302117203396,8.711101875545527,50.631422399814255,-540552.0
Puerto Rico,PRI,3205691,-0.004478724814936608,0.9,79.72,11.0,,18268.5
"Korea, Dem. People's Rep.",PRK,26160821,0.0035062158661320897,1.793,73.578,9.353,13.6,-2000.0
Portugal,PRT,10525347,0.011109153535969972,1.43,81.58048780487806,11.9,2.6,9999.0
Paraguay,PRY,6861524,0.011913146993899115,2.444,70.475,7.437,15.0,-12499.0
West Bank and Gaza,PSE,5165775,0.024221331855027728,3.436,73.444,3.854,12.3,-5000.0
Pacific island small states,PSS,2677728,0.01466795047705216,3.2090508772302893,69.73483483939496,6.495044064101092,19.336406165285418,-8543.0
Post-demographic dividend,PST,1119478514,0.0045985084847537374,1.4636774389497726,80.16761519140216,10.819429304849168,3.965412498489503,101524.5
French Polynesia,PYF,308872,0.008466137084161884,1.688,83.54999999999998,3.64,,-100.0
Qatar,QAT,2716391,0.007891665015535398,1.781,81.55899999999998,1.08,4.5,0.0
