href,Occupation,type,grp,group
/ooh/architecture-and-engineering/environmental-engineers.htm,Environmental Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/industrial-engineers.htm,Industrial Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,Marine Engineers and Naval Architects,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/materials-engineers.htm,Materials Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/mechanical-engineers.htm,Mechanical Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,Mining and Geological Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/nuclear-engineers.htm,Nuclear Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/petroleum-engineers.htm,Petroleum Engineers,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/drafters.htm,Drafters,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/civil-engineering-technicians.htm,Civil Engineering Technologists and Technicians,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/environmental-engineering-technicians.htm,Environmental Engineering Technologists and Technicians,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/industrial-engineering-technicians.htm,Industrial Engineering Technologists and Technicians,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,Mechanical Engineering Technologists and Technicians,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/business-and-financial/market-research-analysts.htm,Market Research Analysts,occupation,business-and-financial,Business and Financial
/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,Surveying and Mapping Technicians,occupation,architecture-and-engineering,Architecture and Engineering
/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,Agricultural and Food Scientists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,Biochemists and Biophysicists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/microbiologists.htm,Microbiologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,Zoologists and Wildlife Biologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/epidemiologists.htm,Epidemiologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/medical-scientists.htm,Medical Scientists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,Physicists and Astronomers,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,Chemists and Materials Scientists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,Environmental Scientists and Specialists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/geoscientists.htm,Geoscientists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/hydrologists.htm,Hydrologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/survey-researchers.htm,Survey Researchers,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/psychologists.htm,Psychologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/sociologists.htm,Sociologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,Urban and Regional Planners,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm,Anthropologists and Archeologists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/political-scientists.htm,Political Scientists,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/biological-technicians.htm,Biological Technicians,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
